1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	2
58	2
59	2
60	2
61	2
62	2
63	3
64	4
65	4
66	5
67	11
68	19
69	59
70	84
71	116
72	154
73	199
74	329
75	420
76	524
77	592
78	651
79	672
80	705
81	743
82	779
83	805
84	826
85	863
86	907
87	934
88	1000
89	1116
90	1196
91	1357
92	1686
93	1972
94	2332
95	2735
96	3138
97	3691
98	4011
99	4372
100	4615
101	4822
102	4988
103	5188
104	6172
105	7107
106	7917
107	8437
108	8609
109	8832
110	8939
111	9051
112	9085
113	9098
114	9100
115	9100
116	9102
117	9102
118	9103
119	9105
120	9106
121	9107
122	9107
123	9107
124	9107
125	9108
126	9108
127	9108
128	9109
129	9110
130	9111
131	9113
132	9113
133	9113
134	9113
135	9117
136	9118
137	9120
138	9121
139	9121
140	9121
141	9123
142	9126
143	9127
144	9128
145	9128
146	9128
147	9129
148	9129
149	9130
150	9130
151	9130
152	9131
153	9130
154	9130
155	9130
156	9130
157	9130
158	9130
159	9130
160	9130
161	9130
162	9130
163	9129
164	9127
165	9101
166	9057
167	8970
168	8858
169	8798
170	8607
171	8323
172	8084
173	7722
174	7395
175	6929
176	6555
177	6080
178	5692
179	5017
180	4609
181	4027
182	3716
183	3345
184	2984
185	2769
186	2580
187	2355
188	2109
189	1845
190	1714
191	1624
192	1516
193	1399
194	1341
195	1277
196	1208
197	1065
198	824
199	648
200	572
201	429
202	343
203	285
204	247
205	203
206	160
207	122
208	65
209	28
210	18
211	14
212	14
213	14
214	13
215	13
216	12
217	12
218	11
219	11
220	9
221	8
222	6
223	5
224	5
225	5
226	5
227	4
228	3
229	2
230	1
231	1
232	1
233	1
234	1
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
